Title,Score,Info
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.40,"TV (12 eps)        Jan 2019 - Mar 2019        1,837,995 members"
Kamisama Hajimemashita: Kako-hen,8.40,"OVA (4 eps)        Aug 2015 - Aug 2016        176,572 members"
Medalist,8.40,"TV (13 eps)        Jan 2025 - Mar 2025        57,608 members"
Natsume Yuujinchou Roku Specials,8.40,"Special (2 eps)        Sep 2017 - Oct 2017        51,374 members"
Major S5,8.39,"TV (25 eps)        Jan 2009 - Jun 2009        73,925 members"
Ramayana: The Legend of Prince Rama,8.39,"Movie (1 eps)        Jan 1993 - Jan 1993        13,610 members"
Blue Giant,8.39,"Movie (1 eps)        Feb 2023 - Feb 2023        39,451 members"
Houseki no Kuni,8.39,"TV (12 eps)        Oct 2017 - Dec 2017        491,497 members"
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39,"Movie (1 eps)        Feb 2018 - Feb 2018        465,066 members"
Tunshi Xingkong 4th Season,8.38,"ONA (123 eps)        Oct 2023 -         4,283 members"
Vivy: Fluorite Eye's Song,8.38,"TV (13 eps)        Apr 2021 - Jun 2021        576,271 members"
Yuru Camp△ Movie,8.38,"Movie (1 eps)        Jul 2022 - Jul 2022        88,620 members"
Josee to Tora to Sakana-tachi,8.38,"Movie (1 eps)        Dec 2020 - Dec 2020        476,517 members"
Karakai Jouzu no Takagi-san 3,8.38,"TV (12 eps)        Jan 2022 - Mar 2022        201,005 members"
Kaze ga Tsuyoku Fuiteiru,8.38,"TV (23 eps)        Oct 2018 - Mar 2019        318,646 members"
Made in Abyss Movie 2: Hourou Suru Tasogare,8.38,"Movie (1 eps)        Jan 2019 - Jan 2019        152,000 members"
Chihayafuru 2,8.38,"TV (25 eps)        Jan 2013 - Jun 2013        244,640 members"
Cowboy Bebop: Tengoku no Tobira,8.38,"Movie (1 eps)        Sep 2001 - Sep 2001        395,668 members"
Gintama°: Aizome Kaori-hen,8.38,"OVA (2 eps)        Aug 2016 - Nov 2016        89,734 members"
Girls Band Cry,8.38,"TV (13 eps)        Apr 2024 - Jun 2024        109,818 members"
3-gatsu no Lion,8.37,"TV (22 eps)        Oct 2016 - Mar 2017        706,953 members"
Barakamon,8.37,"TV (12 eps)        Jul 2014 - Sep 2014        689,430 members"
Cross Game,8.37,"TV (50 eps)        Apr 2009 - Mar 2010        129,173 members"
Fruits Basket: Prelude,8.37,"Movie (1 eps)        Feb 2022 - Feb 2022        120,487 members"
Haikyuu!! To the Top,8.37,"TV (13 eps)        Jan 2020 - Apr 2020        998,405 members"
Tunshi Xingkong 3rd Season,8.37,"ONA (33 eps)        Sep 2022 - Apr 2023        3,739 members"
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.37,"Movie (1 eps)        Aug 2009 - Aug 2009        213,595 members"
Mahou Shoujo Madoka★Magica,8.37,"TV (12 eps)        Jan 2011 - Apr 2011        1,348,661 members"
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37,"Movie (1 eps)        Oct 2012 - Oct 2012        211,881 members"
Nezha Zhi Mo Tong Nao Hai,8.37,"Movie (1 eps)        Jan 2025 - Jan 2025        3,176 members"
Kizumonogatari I: Tekketsu-hen,8.36,"Movie (1 eps)        Jan 2016 - Jan 2016        556,928 members"
Non Non Biyori Nonstop,8.36,"TV (12 eps)        Jan 2021 - Mar 2021        132,863 members"
Gintama: Shiroyasha Koutan,8.36,"Special (1 eps)        Sep 2008 - Sep 2008        73,125 members"
Girls & Panzer: Saishuushou Part 4,8.36,"Movie (1 eps)        Oct 2023 - Oct 2023        21,802 members"
Shinseiki Evangelion,8.36,"TV (26 eps)        Oct 1995 - Mar 1996        1,917,640 members"
Tensei shitara Slime Datta Ken 2nd Season,8.36,"TV (12 eps)        Jan 2021 - Mar 2021        1,043,943 members"
Violet Evergarden: Recollections,8.36,"Special (1 eps)        Oct 2021 - Oct 2021        39,000 members"
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.35,"Special (1 eps)        Jul 2018 - Jul 2018        352,714 members"
Xian Ni,8.35,"ONA (128 eps)        Sep 2023 -         6,476 members"
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35,"TV (12 eps)        Jul 2020 - Sep 2020        777,921 members"
K-On! Movie,8.35,"Movie (1 eps)        Dec 2011 - Dec 2011        343,508 members"
Kaze no Tani no Nausicaä,8.35,"Movie (1 eps)        Mar 1984 - Mar 1984        397,098 members"
Kimetsu no Yaiba: Mugen Ressha-hen,8.35,"TV (7 eps)        Oct 2021 - Nov 2021        868,629 members"
Kono Subarashii Sekai ni Shukufuku wo! 3,8.35,"TV (11 eps)        Apr 2024 - Jun 2024        486,413 members"
Meitantei Conan Movie 26: Kurogane no Submarine,8.35,"Movie (1 eps)        Apr 2023 - Apr 2023        15,874 members"
Mushoku Tensei: Isekai Ittara Honki Dasu,8.35,"TV (11 eps)        Jan 2021 - Mar 2021        1,456,382 members"
Baccano!,8.35,"TV (13 eps)        Jul 2007 - Nov 2007        933,345 members"
Hellsing Ultimate,8.35,"OVA (10 eps)        Feb 2006 - Dec 2012        976,216 members"
Initial D First Stage,8.35,"TV (26 eps)        Apr 1998 - Dec 1998        412,906 members"
Douluo Dalu 2nd Season,8.34,"ONA (237 eps)        Dec 2018 - Jun 2023        22,502 members"
Fumetsu no Anata e,8.34,"TV (20 eps)        Apr 2021 - Aug 2021        931,153 members"
IDOLiSH7 Third Beat! Part 2,8.34,"TV (17 eps)        Oct 2022 - Feb 2023        16,461 members"
